code,name,categorie,serial,Commissioning,model,port,aggregat
20MKT130,Молоковоз Scania,Молоковозы,,2014,,,
20MKT352,Молоковоз Scania (прицеп),Молоковозы,,,,,
20MKT405,Молоковоз DAF,Молоковозы,,,,,
20MKT438,Молоковоз Scania,Молоковозы,,,,,
20MKT439,Молоковоз Scania,Молоковозы,,,,,
20MKT546,Молоковоз Scania (прицеп),Молоковозы,,,,,
20MKT577,Молоковоз,Молоковозы,,,,,
20MLH01,Шланги продуктовые   Армированные  (Молокоприемка),Молоковозы,,102,,,
20PU01,Насос  Fristam-FPE 3532/175A центробежный ,Насосы,,2014,,,
20PU02,Насос  Fristam-FPE 3532/175A центробежный ,Насосы,,2014,,,
20TA04,Танк  ABAB-ABAB-500L 500 ,Танки,,2014,,,
20TA05,Танк  ABAB-ABAB-500L 500 ,Танки,,2014,,,
20VA0191,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,2014,,,
20VA0192,Клапан  Burkert-2301-DN80 пневмо. регулирующий,Запорная арматура,,2014,,,
20VA0291,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,2014,,,
20VA0292,Клапан  Burkert-2301-DN80 пневмо. регулирующий,Запорная арматура,,2014,,,
20VA0411,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
20VA0412,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
20VA0451,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
20VA0471,Клапан  Burkert-2000-DN50 пневмо. запорный,Запорная арматура,,2014,,,
20VA0472,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
20VA0501,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
20VA0511,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
20VA0512,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
20VA0551,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
20VA0571,Клапан  Burkert-2000-DN50 пневмо. запорный,Запорная арматура,,2014,,,
20VA0572,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
20WT01,Теплообменник  GEA-VT 40 CDS-C-16 пластинчатый ,Теплообменники,,2002,,,
20WT02,Теплообменник  GEA-VT 40 CDL-C-6 пластинчатый ,Теплообменники,,2013,,,
21KP10,Перекидная панель    ,Запорная арматура,,,,,
21PU01,Насос  Fristam-FPE 722/145A центробежный ,Насосы,,2012,,,
21PU02,Насос  Fristam-FZ 22A центробежный ,Насосы,,2002,,,
21RW01,Мешалка  PRG-R 132S-12/6D  ,Мешалки,№02/2240,2002,,,
21RW02,Мешалка  PRG-R 132S-12/6D  ,Мешалки,№01.20494,2002,,,
21RW03,Мешалка  PRG-R 132S-12/6D  ,Мешалки,№02/22408,2002,,,
21RW04,Мешалка  PRG-R 132S-12/6D  ,Мешалки,№02/22408,2019,,,
21RW05,Мешалка  PRG-R 132S-12/6D  ,Мешалки,№02/22408,2019,,,
21TA01,Танк  THRUN-THRUN-30 000L 30000 ,Танки,№2.25101,2002,,,
21TA02,Танк  THRUN-100 000L 100000 ,Танки,№2.25999.2,2002,,,
21TA03,Танк  THRUN-100 000L 100000 ,Танки,№2.25999.1,2002,,,
21TA04,Танк  THRUN-100 000L 100000 ,Танки,№2.25999.1,2019,,,
21TA05,Танк  THRUN-100 000L 100000 ,Танки,№2.25999.1,2019,,,
21VA0101,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0111,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,2002,,,
21VA0121,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0122,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,2014,,,
21VA0123,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0124,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0131,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0132,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0133,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0151,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0152,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0153,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0154,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0155,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0156,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0157,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,,,,
21VA0171,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0172,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0211,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,2002,,,
21VA0221,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0222,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,2014,,,
21VA0223,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0224,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0231,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0232,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0233,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0251,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0252,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0253,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0256,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0257,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,,,,
21VA0271,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0301,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
21VA0302,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2012,,,
21VA0303,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2002,,,
21VA0305,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0306,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0307,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0308,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0309,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0310,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,2014,,,
21VA0311,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,2002,,,
21VA0321,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0322,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,2014,,,
21VA0323,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0324,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0331,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0332,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0333,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0351,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0352,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2002,,,
21VA0353,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0353.1,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,2002,,,
21VA0356,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0357,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,,,,
21VA0371,Клапан  GEA-SV04-ZF-DN50 пневмо. шибер,Запорная арматура,,2014,,,
21VA0372,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,2014,,,
21VA0373,Клапан  Burkert-2000-DN50 пневмо. запорный,Запорная арматура,,2014,,,
21VA0411,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,,,,
21VA0421,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0422,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0423,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0424,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0431,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0432,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0433,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0452,Клапан  GEA-SV04-GS-DN25 пневмо. шибер,Запорная арматура,,,,,
21VA0453,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0456,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0457,Клапан  GEA-SV04-ZF-DN65 пневмо. шибер,Запорная арматура,,,,,
21VA0471,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0511,Клапан  GEA-SV04-ZF-DN80 пневмо. шибер,Запорная арматура,,,,,
21VA0521,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0522,Клапан  GEA-RB-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0523,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
21VA0524,Клапан  GEA-REL-DN65/DN65 пневмо. плунжер,Запорная арматура,,,,,
